장르,날짜,프로그램명,출연자,프로그램 내용,장소,기타
클래식,2월 5일,조성진 리사이틀,조성진,라벨 피아노소나타 전곡,카네기홀,
뮤지컬,2월 28일,천개의 파랑,"윤태호, 효정, 강해인",천선란의 소설 <천개의 파랑>을 원작으로 한 뮤지컬,국립극장,
클래식,3월 3일,한·일 국교정상화 60주년 기념 합동연주회,"정명훈, 선우예권, 이가라시 카오루코, KBS교향악단","모짜르트 피아노협주곡 제 10번
말러 1번 교향곡",롯데콘서트홀,
연극,3월 29일,피크닉 희곡극장,양손프로젝트,사무엘베케트 '행복한 날들',피크닉,
클래식,4월 4일,2025 통영국제음악제 - KBS교향악단 with 일란 볼코프,"선우예권, 일란 볼코프, 일리야 그린골츠, KBS교향악단","드뷔시 : 어린이차지(아시아 초연/한스 아브라함센 편곡)
한스 아브라함센 : 왼손을 위한 피아노 협주곡 '레프트, 얼론'
시벨리우스 : 바이올린 협주곡 d단조",통영국제음악당,
클래식,4월 5일,2025 통영국제음악제 - 피에르 불레즈를 기리며,"앙상블 앵테르콩탕포랭, 피에르 블뢰즈","비에르 불레즈 : 삽입절
버르토크 : 두 대의 피아노와 타악기를 위한 소나타
피에르 불레즈 : 앙템
피에르 불레즈 : 삽입절에",통영국제음악당,
클래식,4월 5일,2025 통영국제음악제 - K’ARTS 신포니에타 with 황수미,"황수미, K'ARTS 신포니에타, 윤한결","힌데미트 : 실내악 1번
쇤베르크(한스 아브라함센 편곡) : 4개의 가곡
한스 아브라함센 : 그림 동화
코른골트 : 헛소동 모음곡
말러 : 어린이의 이상한 뿔피리(발췌)",통영국제음악당,
클래식,4월 6일,2025 통영국제음악제 - 통영페스티벌오케스트라 III,"조지아 자먼, 소프라노
마일스 뮈카넨, 테너
김기훈, 바리톤
전주시립합창단
원주시립합창단
성남시립합창단
서울시소년소녀합창단
통영페스티벌 오케스트라, 성시연","브리튼, 전쟁 레퀴엠",통영국제음악당,
클래식,4월 18일,예술의전당 교향악축제 2025 - 서울시향,"서울시향, 최수열, 이상 엔더스","슈만 첼로협주곡 a단조
R.슈트라우스 영웅의 생애 Op.40",예술의전당,
클래식,4월 20일,2025 예술의전당 교향악축제 - 경기필하모닉오케스트라,"경기필, 김선욱","모차르트 피아노협주곡 제26번 D장조 '대관식'
말러 교향곡 제5번 C단조",예술의전당,
